year,state,county,zip_codes,population,ev_registrations,cumulative_ev_stations,median_income
2017,TX,Rockwall County,"[75032, 75087, 75132, 75189]",96824.0,30,4,"93,269"
2017,TX,Runnels County,"[76821, 76861, 76865, 76875, 79567]",10282.0,1,0,"41,226"
2017,TX,San Jacinto County,"[77331, 77359, 77364, 77371]",28231.0,1,0,"43,421"
2017,TX,San Patricio County,"[78336, 78352, 78359, 78362, 78368, 78370, 78374, 78387, 78390]",67210.0,2,1,"53,332"
2017,TX,Shelby County,"[75935, 75954, 75973, 75974, 75975]",25225.0,1,0,"38,121"
2017,TX,Smith County,"[75701, 75702, 75703, 75704, 75705, 75706, 75707, 75708, 75709, 75710, 75711, 75712, 75713, 75750, 75757, 75762, 75771, 75789, 75791, 75792, 75798, 75799]",227195.0,14,0,"50,742"
2017,TX,Starr County,"[78536, 78545, 78547, 78548, 78582, 78584, 78585, 78588, 78591]",64130.0,1,0,"27,133"
2017,TX,Tarrant County,"[75054, 75261, 76001, 76002, 76003, 76004, 76005, 76006, 76007, 76010, 76011, 76012, 76013, 76014, 76015, 76016, 76017, 76018, 76019, 76020, 76021, 76022, 76034, 76036, 76039, 76040, 76051, 76052, 76053, 76054, 76060, 76063, 76092, 76094, 76095, 76096, 76098, 76099, 76101, 76102, 76103, 76104, 76105, 76106, 76107, 76108, 76109, 76110, 76111, 76112, 76113, 76114, 76115, 76116, 76117, 76118, 76119, 76120, 76121, 76122, 76123, 76124, 76126, 76127, 76129, 76130, 76131, 76132, 76133, 76134, 76135, 76136, 76137, 76140, 76147, 76148, 76150, 76155, 76161, 76162, 76163, 76164, 76166, 76177, 76179, 76180, 76181, 76182, 76185, 76191, 76192, 76193, 76195, 76196, 76197, 76198, 76199, 76244, 76248]",2056451.0,384,16,"62,532"
2017,TX,Taylor County,"[79508, 79530, 79536, 79541, 79561, 79562, 79563, 79566, 79601, 79602, 79603, 79604, 79605, 79606, 79607, 79608, 79697, 79698, 79699]",136634.0,10,0,"49,161"
2017,TX,Titus County,"[75455, 75456, 75487, 75493, 75558]",32619.0,1,0,"46,980"
2017,TX,Tom Green County,"[76886, 76901, 76902, 76903, 76904, 76905, 76906, 76908, 76909, 76934, 76935, 76937, 76939, 76940, 76955, 76957, 76958]",117566.0,6,0,"49,662"
2017,TX,Travis County,"[73301, 73344, 78615, 78617, 78645, 78652, 78653, 78660, 78669, 78691, 78701, 78702, 78703, 78704, 78705, 78708, 78709, 78710, 78711, 78712, 78713, 78714, 78715, 78716, 78718, 78719, 78720, 78721, 78722, 78723, 78724, 78725, 78726, 78727, 78728, 78730, 78731, 78732, 78733, 78734, 78735, 78736, 78738, 78739, 78741, 78742, 78744, 78745, 78746, 78747, 78748, 78749, 78750, 78751, 78752, 78753, 78754, 78755, 78756, 78757, 78758, 78759, 78760, 78761, 78762, 78763, 78764, 78765, 78766, 78767, 78768, 78769, 78772, 78773, 78774, 78778, 78779, 78780, 78781, 78783, 78785, 78786, 78788, 78789, 78798, 78799]",1227585.0,680,52,"68,350"
2017,TX,Upshur County,"[75640, 75644, 75645, 75683, 75755, 75797]",41069.0,1,0,"48,796"
2017,TX,Uvalde County,"[78801, 78802, 78838, 78870, 78881, 78884]",27043.0,1,0,"40,781"
2017,TX,Van Zandt County,"[75103, 75117, 75127, 75140, 75169, 75754, 75790]",55163.0,2,0,"50,061"
2017,TX,Victoria County,"[77901, 77902, 77903, 77904, 77905, 77951, 77968, 77973, 77974, 77976, 77977, 77988]",92045.0,4,0,"55,740"
2017,TX,Walker County,"[77320, 77334, 77340, 77341, 77342, 77343, 77344, 77348, 77349, 77358, 77367]",72816.0,4,0,"41,456"
2017,TX,Washington County,"[77426, 77833, 77834, 77835, 77880]",34861.0,1,3,"55,793"
2017,TX,Webb County,"[78040, 78041, 78042, 78043, 78044, 78045, 78046, 78049, 78344, 78369, 78371]",273691.0,15,0,"40,442"
2017,TX,Wharton County,"[77420, 77432, 77435, 77436, 77437, 77443, 77448, 77453, 77454, 77455, 77467, 77488]",41837.0,1,0,"50,145"
2017,TX,Wheeler County,"[79003, 79011, 79061, 79079, 79096]",5300.0,1,0,"50,910"
2017,TX,Wichita County,"[76301, 76302, 76305, 76306, 76307, 76308, 76309, 76310, 76311, 76354, 76360, 76367, 76369]",131689.0,6,0,"45,776"
2017,TX,Williamson County,"[76511, 76527, 76530, 76537, 76573, 76574, 76578, 78613, 78626, 78627, 78628, 78630, 78633, 78634, 78641, 78642, 78646, 78651, 78664, 78665, 78673, 78674, 78680, 78681, 78682, 78683, 78717, 78729]",546251.0,236,7,"79,123"
2017,TX,Wilson County,"[78101, 78113, 78114, 78121, 78143, 78147, 78160, 78161]",49211.0,3,1,"71,942"
2017,TX,Wise County,"[76023, 76071, 76073, 76078, 76225, 76234, 76246, 76267, 76426, 76431]",65848.0,3,0,"59,081"
2017,TX,Wood County,"[75410, 75444, 75494, 75497, 75765, 75773, 75783]",44263.0,1,0,"48,038"
2018,TX,Anderson County,"[75763, 75779, 75801, 75802, 75803, 75832, 75839, 75853, 75861, 75880, 75882, 75884, 75886]",57974.0,17,0,"43,355"
2018,TX,Andrews County,[79714],18011.0,5,0,"74,233"
2018,TX,Angelina County,"[75901, 75902, 75903, 75904, 75915, 75941, 75949, 75969, 75980]",86810.0,9,0,"47,714"
2018,TX,Aransas County,"[78358, 78381, 78382]",23446.0,8,3,"44,865"
2018,TX,Atascosa County,"[78008, 78011, 78012, 78026, 78050, 78052, 78062, 78064, 78065, 78069]",50322.0,6,0,"55,265"
2018,TX,Austin County,"[77418, 77452, 77473, 77474, 77485, 78931, 78933, 78944, 78950]",29965.0,10,0,"65,365"
2018,TX,Bandera County,"[78003, 78055, 78063, 78883, 78885]",22792.0,8,0,"53,683"
2018,TX,Bastrop County,"[78602, 78612, 78621, 78650, 78659, 78662, 78953, 78957]",86595.0,54,0,"62,941"
2018,TX,Baylor County,[76380],3573.0,1,0,"40,750"
2018,TX,Bee County,"[78102, 78104, 78125, 78142, 78145, 78146, 78162, 78389, 78391]",32467.0,4,0,"42,032"
2018,TX,Bell County,"[76501, 76502, 76503, 76504, 76505, 76508, 76513, 76519, 76533, 76534, 76540, 76541, 76542, 76543, 76545, 76546, 76547, 76548, 76549, 76554, 76559, 76564, 76569, 76571, 76579]",355397.0,146,6,"54,184"
